bottleneck_id,latitude,longitude,route_segment,distributor_network,estimated_demand_kw,grid_status
FRIC_317,37.73174,-3.972705,A-316,Endesa,300,Congested
FRIC_318,37.810635,-3.789777,A-316R1,Endesa,300,Congested
FRIC_319,37.710655,-3.984661,A-316R2,Endesa,300,Congested
FRIC_320,37.958057,-2.434337,A-317,Endesa,300,Congested
FRIC_321,38.277703,-5.201004,A-3175,Endesa,300,Congested
FRIC_322,38.127371,-4.903922,A-3176,Endesa,300,Congested
FRIC_323,37.438432,-4.469904,A-318,Endesa,300,Congested
FRIC_324,37.399561,-4.763195,A-318,Endesa,300,Congested
FRIC_325,37.414211,-4.503407,A-318a,Endesa,300,Congested
FRIC_326,38.140903,-3.033369,A-32,Endesa,300,Congested
FRIC_327,38.030865,-3.346088,A-32,Endesa,300,Congested
FRIC_328,38.033224,-3.33268,A-32,Endesa,300,Congested
FRIC_329,37.813652,-3.370049,A-320,Endesa,300,Congested
FRIC_330,38.591965,-4.90603,A-3200,Endesa,300,Congested
FRIC_331,37.265676,-4.533947,A-3228,Endesa,300,Congested
FRIC_332,37.649355,-3.420762,A-324,Endesa,300,Congested
FRIC_333,37.320544,-3.138817,A-325,Endesa,300,Congested
FRIC_334,37.317758,-3.137505,A-325R1,Endesa,300,Congested
FRIC_335,38.301293,-5.334045,A-3276,Endesa,300,Congested
FRIC_336,37.165681,-4.181264,A-328,Endesa,300,Congested
FRIC_337,38.305141,-1.307496,A-33,i-DE,300,Congested
FRIC_338,38.281088,-1.32032,A-33,i-DE,300,Congested
FRIC_339,37.716012,-2.554231,A-330,Endesa,300,Congested
FRIC_340,37.578899,-4.160232,A-333,Endesa,300,Congested
FRIC_341,37.433816,-2.703573,A-334,Endesa,300,Congested
FRIC_342,37.454207,-2.736958,A-334R2,Endesa,300,Congested
FRIC_343,37.183315,-3.953183,A-335,Endesa,300,Congested
FRIC_344,37.260749,-3.771667,A-336,Endesa,300,Congested
FRIC_345,37.124895,-3.692725,A-338,Endesa,300,Congested
FRIC_346,37.462368,-3.956478,A-339,Endesa,300,Congested
FRIC_347,37.462946,-3.948747,A-339R1,Endesa,300,Congested
FRIC_348,37.162098,-4.186742,A-341,Endesa,300,Congested
FRIC_349,37.471768,-4.467004,A-342,Endesa,300,Congested
FRIC_350,36.752945,-3.170384,A-345,Endesa,300,Congested
FRIC_351,36.851115,-3.506231,A-346,Endesa,300,Congested
FRIC_352,36.922651,-3.5287,A-348,Endesa,300,Congested
FRIC_353,37.229896,-5.114711,A-351,Endesa,300,Congested
FRIC_354,37.284236,-4.856426,A-353,Endesa,300,Congested
FRIC_355,36.819826,-4.795447,A-357,Endesa,300,Congested
FRIC_356,36.883996,-4.844718,A-357R1,Endesa,300,Congested
FRIC_357,36.861072,-4.833371,A-357R2,Endesa,300,Congested
FRIC_358,37.328279,-5.816291,A-360,Endesa,300,Congested
FRIC_359,37.274611,-5.448219,A-361,Endesa,300,Congested
FRIC_360,37.158984,-5.910191,A-362,Endesa,300,Congested
FRIC_361,37.505558,-5.1415,A-364,Endesa,300,Congested
FRIC_362,37.197275,-4.793886,A-365,Endesa,300,Congested
FRIC_363,36.937653,-4.864804,A-367,Endesa,300,Congested
FRIC_364,36.921436,-4.844503,A-367R1,Endesa,300,Congested
FRIC_365,36.58697,-4.594674,A-368,Endesa,300,Congested
FRIC_366,36.966823,-5.867611,A-371,Endesa,300,Congested
FRIC_367,37.160371,-5.786492,A-375,Endesa,300,Congested
FRIC_368,37.258561,-5.848066,A-376,Endesa,300,Congested
FRIC_369,36.380354,-5.26564,A-377,Endesa,300,Congested
FRIC_370,37.370557,-4.792573,A-379,Endesa,300,Congested
FRIC_371,39.251781,-0.358,A-38,i-DE,600,Moderate
FRIC_372,36.387749,-5.65248,A-381,Endesa,300,Congested
FRIC_373,36.636709,-6.076345,A-381,Endesa,300,Congested
FRIC_374,36.448948,-5.748349,A-381,Endesa,300,Congested
FRIC_375,36.468059,-5.854091,A-381,Endesa,300,Congested
FRIC_376,36.713626,-5.951422,A-382,Endesa,300,Congested
FRIC_377,36.718168,-6.009295,A-382a,Endesa,300,Congested
FRIC_378,36.21527,-5.349492,A-383,Endesa,300,Congested
FRIC_379,37.070381,-4.595024,A-384,Endesa,300,Congested
FRIC_380,37.087014,-3.648599,A-385,Endesa,300,Congested
FRIC_381,37.610393,-4.692266,A-386,Endesa,300,Congested
FRIC_382,36.549553,-4.627699,A-387,Endesa,300,Congested
FRIC_383,37.363635,-4.8254,A-388,Endesa,300,Congested
FRIC_384,37.315371,-5.878169,A-392,Endesa,300,Congested
FRIC_385,37.108069,-5.800272,A-394,Endesa,300,Congested
FRIC_386,37.092169,-3.387547,A-395,Endesa,300,Congested
FRIC_387,37.099525,-3.406702,A-395R1,Endesa,300,Congested
FRIC_388,37.107254,-3.411955,A-395R2,Endesa,300,Congested
FRIC_389,36.469973,-5.853714,A-396,Endesa,300,Congested
FRIC_390,36.498588,-4.999169,A-397,Endesa,300,Congested
FRIC_391,37.346279,-5.82607,A-398,Endesa,300,Congested
FRIC_392,36.722966,-6.098693,A-4,Endesa,300,Congested
FRIC_393,39.942268,-3.498221,A-4,i-DE,300,Congested
FRIC_394,40.095376,-3.633417,A-4,i-DE,300,Congested
FRIC_395,39.010929,-3.377179,A-4,Endesa,300,Congested
FRIC_396,39.225134,-3.412068,A-4,Endesa,300,Congested
FRIC_397,38.593715,-3.471312,A-4,Endesa,300,Congested
FRIC_398,38.816768,-3.395783,A-4,Endesa,300,Congested
FRIC_399,37.950076,-4.492773,A-4,Endesa,300,Congested
FRIC_400,37.74379,-4.849055,A-4,Endesa,300,Congested
FRIC_401,37.992342,-4.324544,A-4,Endesa,300,Congested
FRIC_402,37.825265,-4.795908,A-4,Endesa,300,Congested
FRIC_403,38.042117,-4.000623,A-4,Endesa,300,Congested
FRIC_404,38.196909,-3.670253,A-4,Endesa,300,Congested
FRIC_405,38.035825,-4.157303,A-4,Endesa,300,Congested
FRIC_406,40.035748,-3.66173,A-4,i-DE,300,Congested
FRIC_407,40.350717,-3.674966,A-4,i-DE,300,Congested
FRIC_408,36.656117,-6.168221,A-4,Endesa,300,Congested
FRIC_409,36.562819,-6.187432,A-4,Endesa,300,Congested
FRIC_410,36.721262,-6.101731,A-4,Endesa,300,Congested
FRIC_411,38.036584,-4.111726,A-4,Endesa,300,Congested
FRIC_412,40.243115,-3.689629,A-4,i-DE,300,Congested
FRIC_413,37.505793,-5.436339,A-4,Endesa,300,Congested
