location_id,latitude,longitude,route_segment,n_chargers_proposed,grid_status
IBE_139,40.629964,-3.149237,A-2,2,Congested
IBE_140,41.034632,-2.465988,A-2,2,Congested
IBE_141,40.622172,-3.163362,A-2,2,Congested
IBE_142,40.973755,-2.617474,A-2,2,Congested
IBE_143,40.957636,-2.664054,A-2,2,Congested
IBE_144,41.639112,1.05631,A-2,2,Congested
IBE_145,41.639127,0.773748,A-2,2,Congested
IBE_146,41.652492,0.574529,A-2,2,Congested
IBE_147,41.635627,1.338619,A-2,2,Congested
IBE_148,40.470457,-3.425684,A-2,2,Congested
IBE_149,40.459702,-3.500178,A-2,2,Congested
IBE_150,40.449927,-3.58749,A-2,2,Congested
IBE_151,40.778619,-2.988287,A-2,2,Congested
IBE_152,40.646987,-3.142096,A-2,2,Congested
IBE_153,41.151707,-2.425984,A-2,2,Congested
IBE_154,41.41243,-1.508578,A-2,2,Congested
IBE_155,41.679504,-0.865008,A-2,2,Congested
IBE_156,41.623186,-0.717135,A-2,2,Congested
IBE_157,41.310056,-1.918617,A-2,2,Congested
IBE_158,41.544617,-1.143023,A-2,2,Congested
IBE_159,41.618448,-1.032579,A-2,2,Congested
IBE_160,41.629999,-0.991493,A-2,2,Congested
IBE_161,41.617156,-1.055045,A-2,2,Congested
IBE_162,36.712809,-6.148489,A-2000,2,Congested
IBE_163,36.742363,-6.332179,A-2001,6,Sufficient
IBE_164,36.630162,-6.199035,A-2002,2,Congested
IBE_165,36.657347,-6.085038,A-2004,2,Congested
IBE_166,41.337288,-1.66207,A-202,2,Congested
IBE_167,36.749788,-6.362781,A-2077,6,Sufficient
IBE_168,36.690718,-6.201235,A-2078,2,Congested
IBE_169,36.743302,-6.424325,A-2079,6,Sufficient
IBE_170,42.759373,-1.631062,A-21,2,Congested
IBE_171,42.713637,-1.517674,A-21,2,Congested
IBE_172,42.564071,-0.603402,A-21,2,Congested
IBE_173,36.285133,-5.312186,A-2100,2,Congested
IBE_174,41.514,-1.037625,A-2101,2,Congested
IBE_175,36.298308,-5.282784,A-2102,2,Congested
IBE_176,36.290989,-5.304774,A-2103,2,Congested
IBE_177,41.479414,-0.15047,A-2105,2,Congested
IBE_178,41.108401,-1.415286,A-211,2,Congested
IBE_179,42.09629,-0.118536,A-22,2,Congested
IBE_180,42.082248,-0.077266,A-22,2,Congested
IBE_181,42.114913,-0.232987,A-22,2,Congested
IBE_182,41.717251,0.43024,A-22,2,Congested
IBE_183,41.716799,0.449987,A-22-R1,2,Congested
IBE_184,41.740002,0.421524,A-22-R2,2,Congested
IBE_185,41.335458,-1.213912,A-220,2,Congested
IBE_186,36.722624,-5.917885,A-2200,2,Congested
IBE_187,36.746323,-5.866046,A-2202,2,Congested
IBE_188,42.100763,-0.148117,A-2203,2,Congested
IBE_189,42.407961,0.25538,A-2206,2,Congested
IBE_190,41.254771,-0.198239,A-221,2,Congested
IBE_191,42.141395,0.225583,A-2210,2,Congested
IBE_192,42.159232,0.325796,A-2211,2,Congested
IBE_193,41.791367,-0.147272,A-2212,2,Congested
IBE_194,41.499204,-0.045609,A-2213,2,Congested
IBE_195,41.509591,0.065886,A-2214,2,Congested
IBE_196,42.046626,0.462934,A-2216,2,Congested
IBE_197,41.758897,0.407051,A-2217,2,Congested
IBE_198,41.981321,0.490058,A-2218,2,Congested
IBE_199,41.837494,0.548954,A-2219,2,Congested
IBE_200,41.533277,-0.696971,A-222,2,Congested
IBE_201,41.025237,-0.808895,A-222,2,Congested
IBE_202,41.83228,0.2247,A-2220,2,Congested
IBE_203,36.298105,-5.593842,A-2226,2,Congested
IBE_204,36.209968,-5.788785,A-2227,4,Moderate
IBE_205,41.458431,-0.722178,A-222a,2,Congested
IBE_206,41.150613,-0.561633,A-223,2,Congested
IBE_207,36.289783,-6.063796,A-2232,4,Moderate
IBE_208,36.438821,-5.721646,A-2236,2,Congested
IBE_209,41.169353,-0.463063,A-224,2,Congested
IBE_210,40.825064,-0.202837,A-225,2,Congested
IBE_211,40.915521,-0.231081,A-226,2,Congested
IBE_212,40.474444,-0.78629,A-226,2,Congested
IBE_213,40.467704,-0.309864,A-227,2,Congested
IBE_214,40.158994,-0.770129,A-228,2,Congested
IBE_215,39.81638,-0.441635,A-23,2,Congested
IBE_216,40.10842,-0.728077,A-23,2,Congested
IBE_217,40.27405,-0.98434,A-23,2,Congested
IBE_218,40.431708,-1.210853,A-23,2,Congested
IBE_219,40.508202,-1.25422,A-23,2,Congested
IBE_220,40.279381,-0.987875,A-23,2,Congested
IBE_221,39.697459,-0.345076,A-23,2,Congested
IBE_222,42.03256,-0.582251,A-23,2,Congested
IBE_223,42.170214,-0.429793,A-23,2,Congested
IBE_224,42.142529,-0.431159,A-23,2,Congested
IBE_225,40.000356,-0.689392,A-23,2,Congested
IBE_226,39.8011,-0.419261,A-23,2,Congested
IBE_227,41.306873,-1.211703,A-23,2,Congested
IBE_228,41.289874,-1.225607,A-23,2,Congested
IBE_229,41.581584,-0.957127,A-23,2,Congested
IBE_230,41.702087,-0.839141,A-23,2,Congested
IBE_231,41.536817,-0.192304,A-230,2,Congested
IBE_232,41.455967,-1.467649,A-2302,2,Congested
IBE_233,41.640178,-1.287492,A-2304,2,Congested
IBE_234,41.33639,-0.931662,A-2305,2,Congested
IBE_235,41.030365,-0.806731,A-2306,2,Congested
IBE_236,41.204834,-0.712162,A-2307,2,Congested
IBE_237,42.346565,-4.708701,A-231,2,Congested
IBE_238,42.382669,-5.04142,A-231,2,Congested
